Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A10054B_001,SE_A10054B_002,SE_A10054B_003,SE_A10054B_004,SE_A10054B_005,SE_A10054B_006,SE_A10054B_007,PCT_SE_A10054B_002,PCT_SE_A10054B_003,PCT_SE_A10054B_004,PCT_SE_A10054B_005,PCT_SE_A10054B_006,PCT_SE_A10054B_007
"06075030301","Census Tract 303.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"030301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 303.01",,,,993,265,556,127,28,0,17,26.69,55.99,12.79,2.82,0,1.71
"06075030302","Census Tract 303.02, San Francisco County, California","ca","140","00",,,,"06","075",,,"030302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 303.02",,,,382,9,262,70,14,17,10,2.36,68.59,18.32,3.66,4.45,2.62
"06075030400","Census Tract 304, San Francisco County, California","ca","140","00",,,,"06","075",,,"030400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 304",,,,290,7,107,127,40,9,0,2.41,36.9,43.79,13.79,3.1,0
"06075030500","Census Tract 305, San Francisco County, California","ca","140","00",,,,"06","075",,,"030500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 305",,,,272,53,43,64,83,29,0,19.49,15.81,23.53,30.51,10.66,0
"06075030600","Census Tract 306, San Francisco County, California","ca","140","00",,,,"06","075",,,"030600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 306",,,,132,22,30,74,6,0,0,16.67,22.73,56.06,4.55,0,0
"06075030700","Census Tract 307, San Francisco County, California","ca","140","00",,,,"06","075",,,"030700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 307",,,,406,0,109,252,45,0,0,0,26.85,62.07,11.08,0,0
"06075030800","Census Tract 308, San Francisco County, California","ca","140","00",,,,"06","075",,,"030800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 308",,,,538,159,151,188,40,0,0,29.55,28.07,34.94,7.43,0,0
"06075030900","Census Tract 309, San Francisco County, California","ca","140","00",,,,"06","075",,,"030900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 309",,,,98,0,0,17,23,58,0,0,0,17.35,23.47,59.18,0
"06075031000","Census Tract 310, San Francisco County, California","ca","140","00",,,,"06","075",,,"031000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 310",,,,423,113,190,59,61,0,0,26.71,44.92,13.95,14.42,0,0
"06075031100","Census Tract 311, San Francisco County, California","ca","140","00",,,,"06","075",,,"031100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 311",,,,834,103,552,91,88,0,0,12.35,66.19,10.91,10.55,0,0
"06075031201","Census Tract 312.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"031201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 312.01",,,,861,312,248,238,47,12,4,36.24,28.8,27.64,5.46,1.39,0.46
"06075031202","Census Tract 312.02, San Francisco County, California","ca","140","00",,,,"06","075",,,"031202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 312.02",,,,286,72,64,100,9,22,19,25.17,22.38,34.97,3.15,7.69,6.64
"06075031301","Census Tract 313.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"031301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 313.01",,,,326,34,173,27,82,0,10,10.43,53.07,8.28,25.15,0,3.07
"06075031302","Census Tract 313.02, San Francisco County, California","ca","140","00",,,,"06","075",,,"031302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 313.02",,,,499,31,298,160,0,10,0,6.21,59.72,32.06,0,2,0
"06075031401","Census Tract 314.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"031401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 314.01",,,,219,20,109,47,3,0,40,9.13,49.77,21.46,1.37,0,18.26
"06075031402","Census Tract 314.02, San Francisco County, California","ca","140","00",,,,"06","075",,,"031402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 314.02",,,,184,86,51,47,0,0,0,46.74,27.72,25.54,0,0,0
"06075032601","Census Tract 326.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"032601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 326.01",,,,1044,228,591,195,30,0,0,21.84,56.61,18.68,2.87,0,0
"06075032602","Census Tract 326.02, San Francisco County, California","ca","140","00",,,,"06","075",,,"032602",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 326.02",,,,745,120,355,216,27,27,0,16.11,47.65,28.99,3.62,3.62,0
"06075032700","Census Tract 327, San Francisco County, California","ca","140","00",,,,"06","075",,,"032700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 327",,,,856,159,320,341,36,0,0,18.57,37.38,39.84,4.21,0,0
"06075032801","Census Tract 328.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"032801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 328.01",,,,488,41,311,136,0,0,0,8.4,63.73,27.87,0,0,0
