Level,Date,State FIPS,State Postal Code,County FIPS,County Name,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500,Row ID,Week,Month
County,2022/06/09,06,CA,06037,Los Angeles County,2408083,7631024,31135861,7815224,7180827,4017438,5194426,4894733,1444090,376792,133270,57163,21898,06-06037-20220609,23,6
County,2022/06/10,06,CA,06037,Los Angeles County,2247385,7791722,35704654,9229808,8353594,4564614,5788760,5436856,1621258,441145,170945,72456,25218,06-06037-20220610,23,6
County,2022/06/11,06,CA,06037,Los Angeles County,2421727,7617380,30384688,7543304,7037396,3857267,4960469,4721770,1518765,471558,178131,71214,24814,06-06037-20220611,23,6
County,2022/05/22,06,CA,06037,Los Angeles County,2422889,7616218,30934084,7884023,7346284,3946457,4877651,4594892,1487506,496358,201133,72848,26932,06-06037-20220522,21,5
County,2022/05/23,06,CA,06037,Los Angeles County,2441002,7598105,30761252,7919113,7350690,3924744,4956709,4613199,1380948,386516,145214,59903,24216,06-06037-20220523,21,5
County,2022/05/24,06,CA,06037,Los Angeles County,2136974,7902133,34179157,9591352,8381519,4315008,5341114,4673180,1358868,332520,116861,47873,20862,06-06037-20220524,21,5
County,2022/05/25,06,CA,06037,Los Angeles County,2407748,7631359,31284600,8088215,7369674,3978299,5064600,4778880,1420642,371782,132163,57484,22861,06-06037-20220525,21,5
County,2022/05/26,06,CA,06037,Los Angeles County,2421262,7617845,31228332,8027210,7392190,3969800,5052673,4764862,1417134,382691,140165,58541,23066,06-06037-20220526,21,5
County,2022/05/27,06,CA,06037,Los Angeles County,2414303,7624804,32123843,8055929,7600054,4212760,5311406,4836540,1459599,402052,160678,63065,21760,06-06037-20220527,21,5
County,2022/05/28,06,CA,06037,Los Angeles County,2682615,7356492,31237018,6971399,7064625,4361146,5486494,4944435,1654896,509305,179448,50853,14417,06-06037-20220528,21,5
County,2022/06/19,06,CA,06037,Los Angeles County,2431151,7607956,29303787,7319247,6959192,3743820,4659036,4411387,1449645,477794,183772,74107,25787,06-06037-20220619,25,6
County,2022/06/20,06,CA,06037,Los Angeles County,2405276,7633831,30038784,7278535,6906555,3893008,5024851,4805923,1455826,421524,152931,72594,27037,06-06037-20220620,25,6
County,2022/06/21,06,CA,06037,Los Angeles County,2291748,7747359,32991565,8369216,7795768,4247064,5294088,5064136,1516750,436369,162281,77566,28327,06-06037-20220621,25,6
County,2022/06/22,06,CA,06037,Los Angeles County,2374065,7665042,31538105,7976368,7457068,4023974,5085340,4825376,1448351,438882,174988,78497,29261,06-06037-20220622,25,6
County,2022/06/23,06,CA,06037,Los Angeles County,2388932,7650175,30094564,7539902,7012053,3815301,4832598,4606261,1492152,493958,188895,84584,28860,06-06037-20220623,25,6
County,2022/06/24,06,CA,06037,Los Angeles County,2383657,7655450,31315555,7664841,7205963,4051411,5202462,4832210,1516081,504458,213173,94302,30654,06-06037-20220624,25,6
County,2022/06/25,06,CA,06037,Los Angeles County,2387634,7651473,31818798,7925760,7381676,4023628,5133313,4883679,1585320,535682,224458,94575,30707,06-06037-20220625,25,6
County,2022/06/26,06,CA,06037,Los Angeles County,2449797,7589310,30498179,7501259,7199807,3929498,4893213,4614820,1510791,516380,211293,90877,30241,06-06037-20220626,26,6
County,2022/06/27,06,CA,06037,Los Angeles County,2359936,7679171,31429170,7795969,7156219,4067332,5268041,4924428,1502789,449066,163160,74511,27655,06-06037-20220627,26,6
County,2022/06/28,06,CA,06037,Los Angeles County,2422927,7616180,31803785,8148046,7502377,4055170,5141782,4844625,1456101,415104,145508,68661,26411,06-06037-20220628,26,6
County,2022/06/29,06,CA,06037,Los Angeles County,2341720,7697387,32389294,8264078,7576520,4150191,5268138,4965042,1483878,415997,160426,76658,28366,06-06037-20220629,26,6
County,2022/06/30,06,CA,06037,Los Angeles County,2420031,7619076,33097032,8526549,7717263,4198854,5316291,5082868,1542895,440762,165306,76836,29408,06-06037-20220630,26,6
County,2022/07/01,06,CA,06037,Los Angeles County,2406494,7632613,34119318,8925947,8039059,4311822,5444253,5104084,1545193,462326,179088,78147,29399,06-06037-20220701,26,7
County,2022/07/02,06,CA,06037,Los Angeles County,2432368,7606739,30156709,7278243,7017029,3883122,4972906,4724579,1521403,482113,180212,71130,25972,06-06037-20220702,26,7
County,2022/06/12,06,CA,06037,Los Angeles County,2526861,7512246,28384865,6882201,6586931,3576560,4591841,4481585,1481651,487837,193302,76254,26703,06-06037-20220612,24,6
County,2022/06/13,06,CA,06037,Los Angeles County,2393743,7645364,31806905,7940382,7338625,4089582,5247030,5020669,1515834,415374,146413,68232,24764,06-06037-20220613,24,6
County,2022/06/14,06,CA,06037,Los Angeles County,2349281,7689826,29970394,7604609,7069422,3693317,4739417,4746472,1450468,413008,152524,74027,27130,06-06037-20220614,24,6
County,2022/06/15,06,CA,06037,Los Angeles County,2378652,7660455,32435745,8425553,7655131,4070066,5227518,4950037,1469247,404416,145649,62865,25263,06-06037-20220615,24,6
County,2022/06/16,06,CA,06037,Los Angeles County,2342299,7696808,32590894,8252451,7562075,4169376,5324622,5099549,1528076,419994,145569,63964,25218,06-06037-20220616,24,6
County,2022/06/17,06,CA,06037,Los Angeles County,2367943,7671164,32241849,7819255,7418487,4215673,5434489,5143946,1537126,424571,157233,67237,23832,06-06037-20220617,24,6
County,2022/06/18,06,CA,06037,Los Angeles County,2370642,7668465,30874524,7762296,7185691,3876348,4943146,4777051,1544911,500743,182535,75591,26212,06-06037-20220618,24,6
County,2022/07/10,06,CA,06037,Los Angeles County,2519667,7519440,28835648,6674737,6569983,3776837,4878858,4651002,1506895,492643,191396,68713,24584,06-06037-20220710,28,7
County,2022/07/11,06,CA,06037,Los Angeles County,2196310,7842797,32207135,8393825,7398787,4106576,5342849,4935432,1453184,363860,136759,51406,24457,06-06037-20220711,28,7
County,2022/07/12,06,CA,06037,Los Angeles County,2313766,7725341,32372433,8108049,7396117,4114029,5355122,5133120,1565494,437527,164082,71708,27185,06-06037-20220712,28,7
County,2022/07/13,06,CA,06037,Los Angeles County,2160149,7878958,33272629,9030994,7915648,4118912,5286343,4901724,1453002,362508,127160,52417,23921,06-06037-20220713,28,7
County,2022/07/14,06,CA,06037,Los Angeles County,2408497,7630610,31352240,7628633,7001888,4020567,5292191,5114405,1573138,446311,173990,73049,28068,06-06037-20220714,28,7
County,2022/07/15,06,CA,06037,Los Angeles County,2243789,7795318,33012714,8379801,7767179,4233114,5497345,5024426,1491878,382762,150241,60082,25886,06-06037-20220715,28,7
County,2022/07/16,06,CA,06037,Los Angeles County,2528126,7510981,30299342,7101515,6964746,3935393,5079670,4877724,1560436,489314,187414,76000,27130,06-06037-20220716,28,7
County,2022/07/17,06,CA,06037,Los Angeles County,2517650,7521457,27450992,6217033,6319171,3641015,4669939,4420835,1426184,463159,191493,74368,27795,06-06037-20220717,29,7
County,2022/07/18,06,CA,06037,Los Angeles County,2360782,7678325,31779625,7946623,7232419,4047656,5257834,5032242,1538689,437159,174331,80390,32282,06-06037-20220718,29,7
County,2022/07/19,06,CA,06037,Los Angeles County,2398693,7640414,29549493,7176574,6881865,3785959,4852810,4700789,1467596,423474,158233,73572,28621,06-06037-20220719,29,7
County,2022/07/20,06,CA,06037,Los Angeles County,2393359,7645748,29938800,7454965,6952175,3770545,4782596,4669086,1519045,485105,191630,82352,31301,06-06037-20220720,29,7
County,2022/07/21,06,CA,06037,Los Angeles County,2381185,7657922,29983635,7444740,6924493,3833314,4891082,4681210,1465567,445645,186544,78622,32418,06-06037-20220721,29,7
County,2022/07/22,06,CA,06037,Los Angeles County,2296469,7742638,32530535,8199936,7557644,4103097,5293610,5075650,1548407,446673,189664,82597,33257,06-06037-20220722,29,7
County,2022/07/23,06,CA,06037,Los Angeles County,2490164,7548943,29308839,7042674,6784624,3753538,4794399,4601844,1516333,489264,208298,85474,32391,06-06037-20220723,29,7
County,2022/07/24,06,CA,06037,Los Angeles County,2484616,7554491,28643281,6871069,6652907,3632357,4627478,4559627,1490896,486334,204824,85159,32630,06-06037-20220724,30,7
County,2022/07/25,06,CA,06037,Los Angeles County,2488784,7550323,28222784,7053794,6588017,3575235,4541821,4401014,1389503,402971,165386,74915,30128,06-06037-20220725,30,7
County,2022/07/26,06,CA,06037,Los Angeles County,2332318,7706789,31277203,7757340,7188944,4009537,5100373,4911207,1559463,455398,179347,82493,33101,06-06037-20220726,30,7
County,2022/07/27,06,CA,06037,Los Angeles County,2372337,7666770,30759655,8188139,7541275,3846698,4672398,4461027,1392504,398390,156637,72477,30110,06-06037-20220727,30,7
County,2022/07/28,06,CA,06037,Los Angeles County,2474649,7564458,29421859,7276697,6958710,3801164,4768001,4504331,1437865,415393,159140,72438,28120,06-06037-20220728,30,7
County,2022/07/29,06,CA,06037,Los Angeles County,2350669,7688438,31562332,8123374,7388676,4045469,5089161,4702150,1460694,448367,189728,83118,31595,06-06037-20220729,30,7
County,2022/07/30,06,CA,06037,Los Angeles County,2446409,7592698,30547301,7503055,6918981,3837810,5022313,4850182,1594082,510080,198836,80384,31578,06-06037-20220730,30,7
County,2022/07/03,06,CA,06037,Los Angeles County,2407098,7632009,31457436,7551153,7222860,4083811,5192887,4944885,1596991,532511,213635,88616,30087,06-06037-20220703,27,7
County,2022/07/04,06,CA,06037,Los Angeles County,2360443,7678664,33406844,8643886,7777517,4239664,5374668,5064548,1534327,469967,186887,84127,31253,06-06037-20220704,27,7
County,2022/07/05,06,CA,06037,Los Angeles County,2428687,7610420,33457592,8426543,7755541,4301562,5560053,5176854,1533815,437352,164282,73237,28353,06-06037-20220705,27,7
County,2022/07/06,06,CA,06037,Los Angeles County,2501960,7537147,27958370,6392463,6305726,3633360,4794273,4733346,1436394,417200,150255,68951,26402,06-06037-20220706,27,7
County,2022/07/07,06,CA,06037,Los Angeles County,2152829,7886278,31581442,8494128,7421217,3961395,5095601,4685053,1386324,346269,122503,47024,21928,06-06037-20220707,27,7
County,2022/07/08,06,CA,06037,Los Angeles County,2405697,7633410,31619310,7590128,7260146,4139712,5378745,5047362,1515318,429431,165849,67638,24981,06-06037-20220708,27,7
County,2022/07/09,06,CA,06037,Los Angeles County,2134655,7904452,32811147,8813483,7910584,4090876,5166359,4736252,1447405,411388,161588,50630,22582,06-06037-20220709,27,7
County,2022/08/07,06,CA,06037,Los Angeles County,2471452,7567655,29873313,7073604,6848428,3823119,4936667,4762338,1587228,520678,211025,80081,30145,06-06037-20220807,32,8
County,2022/08/08,06,CA,06037,Los Angeles County,2267129,7771978,31868158,8452281,7567532,3973447,5083654,4706455,1447506,400864,147920,62718,25781,06-06037-20220808,32,8
County,2022/08/09,06,CA,06037,Los Angeles County,2269030,7770077,34987794,9226263,8199438,4380945,5641131,5227695,1599787,450368,162799,70256,29112,06-06037-20220809,32,8
County,2022/08/10,06,CA,06037,Los Angeles County,2322208,7716899,32689389,8426579,7567029,4111237,5309927,5008813,1554760,443212,165275,72346,30211,06-06037-20220810,32,8
County,2022/08/11,06,CA,06037,Los Angeles County,2312956,7726151,32651453,8327604,7438170,4091297,5357454,5091323,1596232,467039,177154,74106,31074,06-06037-20220811,32,8
County,2022/08/12,06,CA,06037,Los Angeles County,2419246,7619861,32679360,8169413,7315870,4234611,5522396,5120457,1570868,465511,182182,70921,27131,06-06037-20220812,32,8
County,2022/08/13,06,CA,06037,Los Angeles County,2455438,7583669,32149145,7917032,7052066,4054181,5362553,5192621,1702270,550245,209553,79953,28671,06-06037-20220813,32,8
County,2022/08/14,06,CA,06037,Los Angeles County,2475946,7563161,30443382,7528877,7132885,3855403,4854394,4670614,1573354,516164,202134,79581,29976,06-06037-20220814,33,8
County,2022/08/15,06,CA,06037,Los Angeles County,2372848,7666259,30795132,7737338,7088606,3885857,5025988,4770225,1521004,470108,188654,77121,30231,06-06037-20220815,33,8
County,2022/08/16,06,CA,06037,Los Angeles County,2382175,7656932,32887431,8467346,7461926,4158068,5459396,5106308,1554750,429476,155795,66172,28194,06-06037-20220816,33,8
County,2022/08/17,06,CA,06037,Los Angeles County,2216175,7822932,34784098,9206095,8086739,4352997,5594497,5222624,1588873,461602,168259,72395,30017,06-06037-20220817,33,8
County,2022/08/18,06,CA,06037,Los Angeles County,2309583,7729524,32702045,8421755,7400154,4122251,5382053,5110577,1569194,437822,160415,68466,29358,06-06037-20220818,33,8
County,2022/08/19,06,CA,06037,Los Angeles County,2362301,7676806,32650528,7925515,7363348,4266729,5622227,5213774,1562445,438477,168358,65176,24479,06-06037-20220819,33,8
County,2022/08/20,06,CA,06037,Los Angeles County,2366901,7672206,31783025,7736383,7180139,4071113,5349717,4998733,1621772,526559,200244,71909,26456,06-06037-20220820,33,8
County,2022/08/21,06,CA,06037,Los Angeles County,2319033,7720074,32169379,8174511,7637984,4147832,5155485,4709883,1518068,507067,210870,79175,28504,06-06037-20220821,34,8
County,2022/08/22,06,CA,06037,Los Angeles County,2363409,7675698,32380026,8206281,7478580,4130711,5342690,4990608,1528836,435574,166579,70552,29615,06-06037-20220822,34,8
County,2022/08/23,06,CA,06037,Los Angeles County,2321677,7717430,33184758,8604536,7618411,4191757,5442669,5085727,1559260,425127,161421,68233,27617,06-06037-20220823,34,8
County,2022/08/24,06,CA,06037,Los Angeles County,2358650,7680457,31594991,7900895,7222276,4033570,5215629,4967887,1548512,441252,167737,70038,27195,06-06037-20220824,34,8
County,2022/08/25,06,CA,06037,Los Angeles County,2352587,7686520,31148969,7854445,7105329,3908303,5065882,4922459,1561966,465321,171401,68657,25206,06-06037-20220825,34,8
County,2022/08/26,06,CA,06037,Los Angeles County,2407496,7631611,29598292,7008675,6744296,3849465,5043283,4747253,1490820,448651,171920,68121,25808,06-06037-20220826,34,8
County,2022/08/27,06,CA,06037,Los Angeles County,2346567,7692540,31700966,7726034,7242085,4067078,5302168,4914545,1616985,519609,210171,75428,26863,06-06037-20220827,34,8
County,2022/07/31,06,CA,06037,Los Angeles County,2293510,7745597,29117739,7587862,6870316,3627549,4552675,4261873,1445223,480142,199471,62687,29941,06-06037-20220731,31,7
County,2022/08/01,06,CA,06037,Los Angeles County,2337186,7701921,31269195,7972918,7313838,3963987,5110019,4753755,1459074,429495,167687,70497,27925,06-06037-20220801,31,8
County,2022/08/02,06,CA,06037,Los Angeles County,2345584,7693523,31783679,8104706,7317527,3997810,5158176,4937172,1544361,446742,167607,78133,31445,06-06037-20220802,31,8
County,2022/08/03,06,CA,06037,Los Angeles County,2351965,7687142,32243383,8253394,7305650,4045379,5289634,5036591,1565759,464601,175220,76086,31069,06-06037-20220803,31,8
County,2022/08/04,06,CA,06037,Los Angeles County,2297954,7741153,32304218,8727359,7659390,4048045,5105052,4670598,1433058,413837,156479,61980,28420,06-06037-20220804,31,8
County,2022/08/05,06,CA,06037,Los Angeles County,2360534,7678573,32406761,7923652,7402026,4212767,5440783,5104595,1570900,461031,188356,74842,27809,06-06037-20220805,31,8
County,2022/08/06,06,CA,06037,Los Angeles County,2408765,7630342,31912899,7842835,7269036,4064636,5230074,5019348,1653992,516888,205021,80552,30517,06-06037-20220806,31,8
County,2022/09/04,06,CA,06037,Los Angeles County,2385442,7653665,32145179,7905335,7403435,4200060,5305561,4934136,1584743,510379,203321,72258,25951,06-06037-20220904,36,9
County,2022/09/05,06,CA,06037,Los Angeles County,2435562,7603545,29890783,7270672,6801195,3873665,4985444,4803810,1508443,407976,152263,62583,24732,06-06037-20220905,36,9
County,2022/09/06,06,CA,06037,Los Angeles County,2428913,7610194,29283034,7735315,7078446,3685668,4541499,4278720,1362115,376193,141946,60580,22552,06-06037-20220906,36,9
County,2022/09/07,06,CA,06037,Los Angeles County,2344192,7694915,30302479,7605569,7176511,3892431,4887101,4628623,1458472,404270,156767,66630,26105,06-06037-20220907,36,9
County,2022/09/08,06,CA,06037,Los Angeles County,2211349,7827758,37720644,9997306,8570304,4768319,6143922,5795735,1750889,440680,160804,65261,27424,06-06037-20220908,36,9
County,2022/09/09,06,CA,06037,Los Angeles County,2170726,7868381,38117395,9928672,8704890,4926496,6246878,5814369,1753193,461376,184748,69333,27440,06-06037-20220909,36,9
County,2022/09/10,06,CA,06037,Los Angeles County,2130711,7908396,37985330,9891799,8726100,4837266,6119308,5675863,1838619,560326,226462,81136,28451,06-06037-20220910,36,9
County,2022/09/11,06,CA,06037,Los Angeles County,2355508,7683599,35261963,8853351,8172584,4562148,5691101,5333043,1753811,553038,230988,82120,29779,06-06037-20220911,37,9
County,2022/09/12,06,CA,06037,Los Angeles County,2338437,7700670,36356558,9487086,8491329,4642278,5812376,5446235,1706907,473492,194534,73521,28800,06-06037-20220912,37,9
County,2022/09/13,06,CA,06037,Los Angeles County,2312921,7726186,37317409,9651117,8587252,4790428,6106408,5773518,1714069,438380,160165,67403,28669,06-06037-20220913,37,9
County,2022/09/14,06,CA,06037,Los Angeles County,2215986,7823121,39388929,10598174,9090071,4982521,6325126,5938846,1742326,452517,164903,66672,27773,06-06037-20220914,37,9
County,2022/09/15,06,CA,06037,Los Angeles County,2320198,7718909,37383460,9742406,8447049,4801978,6158495,5779336,1738717,450803,168609,67542,28525,06-06037-20220915,37,9
County,2022/09/16,06,CA,06037,Los Angeles County,2282167,7756940,37794641,9962667,8693052,4830111,6185363,5690246,1699527,458445,180082,68016,27132,06-06037-20220916,37,9
County,2022/09/17,06,CA,06037,Los Angeles County,2312587,7726520,35520560,9059102,8140354,4498244,5746107,5477701,1756766,528996,208507,75880,28903,06-06037-20220917,37,9
County,2022/09/18,06,CA,06037,Los Angeles County,2414378,7624729,31273752,7889506,7260222,3961110,5029569,4812814,1552138,479566,192772,69607,26448,06-06037-20220918,38,9
County,2022/09/19,06,CA,06037,Los Angeles County,2416275,7622832,29352653,7595320,6840268,3688534,4666201,4533174,1413453,383574,146806,60432,24891,06-06037-20220919,38,9
County,2022/09/20,06,CA,06037,Los Angeles County,2184085,7855022,32485485,8202896,7617530,4173685,5236683,5084935,1543032,395362,146882,59313,25167,06-06037-20220920,38,9
County,2022/09/21,06,CA,06037,Los Angeles County,2340070,7699037,31121250,7962271,7368460,3956295,4939305,4729860,1477022,420435,168651,70073,28878,06-06037-20220921,38,9
County,2022/09/22,06,CA,06037,Los Angeles County,2230856,7808251,33048931,8911536,7844874,4095230,5092967,4877073,1518265,434200,175799,70635,28352,06-06037-20220922,38,9
County,2022/09/23,06,CA,06037,Los Angeles County,2391015,7648092,30343223,7731794,7252270,3883611,4807425,4544537,1445978,416653,168953,65660,26342,06-06037-20220923,38,9
County,2022/09/24,06,CA,06037,Los Angeles County,2503255,7535852,27351562,6564257,6417116,3496941,4381305,4290501,1476838,456332,179633,63636,25003,06-06037-20220924,38,9
County,2022/08/28,06,CA,06037,Los Angeles County,2400587,7638520,32137238,7914567,7414274,4204777,5311561,4885118,1579069,519417,209326,73376,25753,06-06037-20220828,35,8
County,2022/08/29,06,CA,06037,Los Angeles County,2242480,7796627,35690196,9398226,8196848,4508542,5842766,5437861,1620730,434978,157679,66703,25863,06-06037-20220829,35,8
County,2022/08/30,06,CA,06037,Los Angeles County,2292051,7747056,33744967,8412451,7686742,4363173,5691972,5354909,1595184,416623,139057,59548,25308,06-06037-20220830,35,8
County,2022/08/31,06,CA,06037,Los Angeles County,2244712,7794395,34706575,8761446,7905402,4469598,5814412,5463255,1633918,426797,148072,59231,24444,06-06037-20220831,35,8
County,2022/09/01,06,CA,06037,Los Angeles County,2250878,7788229,35499298,9234202,8005571,4534460,5852320,5536772,1654236,440514,153069,62914,25240,06-06037-20220901,35,9
County,2022/09/02,06,CA,06037,Los Angeles County,2200243,7838864,34436280,8819747,7880581,4378701,5677611,5357814,1611763,444369,172177,67825,25692,06-06037-20220902,35,9
County,2022/09/03,06,CA,06037,Los Angeles County,2296846,7742261,33217619,8210031,7626556,4317404,5476479,5101198,1652693,523609,208030,75106,26513,06-06037-20220903,35,9
County,2022/09/25,06,CA,06037,Los Angeles County,2359043,7680064,30486878,7692314,7162219,3914585,4882141,4615009,1490308,457036,185762,63965,23539,06-06037-20220925,39,9
County,2022/09/26,06,CA,06037,Los Angeles County,2455154,7583953,30156398,7613640,7001959,3829471,4911228,4719042,1448340,394745,156324,58746,22903,06-06037-20220926,39,9
County,2022/09/27,06,CA,06037,Los Angeles County,2424701,7614406,29738829,7356031,6826238,3830047,4916959,4747174,1458174,381100,145279,54985,22842,06-06037-20220927,39,9
County,2022/09/28,06,CA,06037,Los Angeles County,2421488,7617619,30826514,7620214,7033364,3936511,5109213,4992390,1516160,393699,148515,54316,22132,06-06037-20220928,39,9
County,2022/09/29,06,CA,06037,Los Angeles County,2320219,7718888,32502973,8565979,7431346,4077309,5199200,5030228,1542803,409062,160665,61522,24859,06-06037-20220929,39,9
County,2022/09/30,06,CA,06037,Los Angeles County,2234184,7804923,35039822,9729323,8105403,4305357,5436774,5179652,1576068,437843,176801,65927,26674,06-06037-20220930,39,9
County,2022/10/01,06,CA,06037,Los Angeles County,2460007,7579100,28887202,7386790,6551249,3578241,4587926,4556723,1489957,460309,182135,67469,26403,06-06037-20221001,39,10
County,2022/10/09,06,CA,06037,Los Angeles County,2485770,7553337,29674419,7987273,7023041,3724076,4547768,4314630,1386418,432418,173246,60234,25315,06-06037-20221009,41,10
County,2022/10/10,06,CA,06037,Los Angeles County,2419031,7620076,31319151,8417023,7464102,3861820,4838061,4647864,1442278,405679,157602,59508,25214,06-06037-20221010,41,10
County,2022/10/11,06,CA,06037,Los Angeles County,2504955,7534152,28404255,7128405,6626302,3548250,4582464,4493842,1408006,387262,147497,57205,25022,06-06037-20221011,41,10
County,2022/10/12,06,CA,06037,Los Angeles County,2505010,7534097,29311781,7524966,6865643,3644904,4659686,4581897,1426460,383432,146105,54963,23725,06-06037-20221012,41,10
County,2022/10/13,06,CA,06037,Los Angeles County,2463795,7575312,30309612,8079346,7164002,3731258,4690283,4554017,1452781,404931,151598,57461,23935,06-06037-20221013,41,10
County,2022/10/14,06,CA,06037,Los Angeles County,2397080,7642027,30660306,8122109,7370624,3806982,4714684,4532358,1453398,408227,165563,61471,24890,06-06037-20221014,41,10
County,2022/10/15,06,CA,06037,Los Angeles County,2534042,7505065,27965341,7211234,6697981,3473718,4307727,4177163,1397290,432213,177072,65164,25779,06-06037-20221015,41,10
County,2022/10/16,06,CA,06037,Los Angeles County,2327016,7712091,25903162,6803347,6752313,3352190,3806842,3379875,1163934,382737,182073,53823,26028,06-06037-20221016,42,10
County,2022/10/17,06,CA,06037,Los Angeles County,2107022,7932085,30099746,8856615,7429025,3639516,4244511,4069918,1303812,338445,141155,48870,27879,06-06037-20221017,42,10
County,2022/10/18,06,CA,06037,Los Angeles County,2259158,7779949,28013911,7675410,6964649,3415938,4069713,3994700,1308344,350343,151724,53682,29408,06-06037-20221018,42,10
County,2022/10/19,06,CA,06037,Los Angeles County,2264460,7774647,27876227,7614313,6838838,3407821,4100465,4030846,1321916,343916,143430,47870,26812,06-06037-20221019,42,10
County,2022/10/20,06,CA,06037,Los Angeles County,2257103,7782004,28094221,8008631,6813166,3369789,4059530,3956528,1326739,336431,146168,50868,26371,06-06037-20221020,42,10
County,2022/10/21,06,CA,06037,Los Angeles County,2258189,7780918,28836909,7893034,7115854,3519531,4238749,4109758,1333505,370651,171490,57330,27007,06-06037-20221021,42,10
County,2022/10/22,06,CA,06037,Los Angeles County,2278213,7760894,27186210,7163993,7028853,3474622,4027786,3649080,1203750,381000,172587,56803,27736,06-06037-20221022,42,10
County,2022/10/23,06,CA,06037,Los Angeles County,2265468,7773639,26991893,7365430,7132663,3478325,3863558,3369256,1145968,379839,173925,56869,26060,06-06037-20221023,43,10
County,2022/10/24,06,CA,06037,Los Angeles County,2261142,7777965,28006041,7617860,6986970,3453891,4139550,3977034,1274566,345497,137530,49855,23288,06-06037-20221024,43,10
County,2022/10/25,06,CA,06037,Los Angeles County,2241926,7797181,29149938,8305066,6998859,3485132,4263423,4199464,1335965,341571,135265,61296,23897,06-06037-20221025,43,10
County,2022/10/26,06,CA,06037,Los Angeles County,2211985,7827122,29508133,8270385,7174526,3567889,4357787,4217861,1332428,335640,145644,79301,26672,06-06037-20221026,43,10
County,2022/10/27,06,CA,06037,Los Angeles County,2241693,7797414,28752577,7822854,7007712,3514022,4268638,4225597,1320583,346430,142662,77646,26433,06-06037-20221027,43,10
County,2022/10/28,06,CA,06037,Los Angeles County,2217477,7821630,30288798,8855970,7342082,3661349,4349180,4153315,1311899,356932,165806,67137,25128,06-06037-20221028,43,10
County,2022/10/29,06,CA,06037,Los Angeles County,2244131,7794976,27838828,7789178,7036377,3410651,3974097,3724037,1228414,387181,187883,73547,27463,06-06037-20221029,43,10
County,2022/10/30,06,CA,06037,Los Angeles County,2286836,7752271,27568328,8046380,7150937,3387872,3819191,3427613,1100850,357503,183963,66431,27588,06-06037-20221030,44,10
County,2022/10/31,06,CA,06037,Los Angeles County,2266906,7772201,28882523,8042617,7077222,3496051,4255758,4144841,1286599,357440,144550,51613,25832,06-06037-20221031,44,10
County,2022/11/01,06,CA,06037,Los Angeles County,2291979,7747128,27349195,7334168,6716808,3345047,4073514,4060583,1282207,331666,124608,57975,22619,06-06037-20221101,44,11
County,2022/11/02,06,CA,06037,Los Angeles County,2295010,7744097,28259040,7753060,6914567,3413656,4157276,4155768,1307254,339926,132108,61184,24241,06-06037-20221102,44,11
County,2022/11/03,06,CA,06037,Los Angeles County,2281188,7757919,26896035,7460514,6582326,3245873,3933832,3918987,1243908,305530,127405,55648,22012,06-06037-20221103,44,11
County,2022/11/04,06,CA,06037,Los Angeles County,2169438,7869669,29803831,8486858,7313386,3629561,4350868,4213211,1297292,308018,123675,58388,22574,06-06037-20221104,44,11
County,2022/11/05,06,CA,06037,Los Angeles County,2188487,7850620,28085872,7772889,7119728,3501409,4057613,3792917,1242714,368795,141289,65017,23501,06-06037-20221105,44,11
County,2022/10/02,06,CA,06037,Los Angeles County,2473061,7566046,28355943,7116089,6506364,3552130,4564454,4463021,1448556,445565,172165,63097,24502,06-06037-20221002,40,10
County,2022/10/03,06,CA,06037,Los Angeles County,2428755,7610352,31252089,8311289,7298505,3892052,4944584,4760318,1433520,381863,148954,56345,24659,06-06037-20221003,40,10
County,2022/10/04,06,CA,06037,Los Angeles County,2460844,7578263,29743419,7438310,6810720,3784764,4949886,4729739,1412348,381761,156786,54764,24341,06-06037-20221004,40,10
County,2022/10/05,06,CA,06037,Los Angeles County,2472408,7566699,30057760,7614322,6920533,3808303,4889009,4761001,1447148,393833,143652,55462,24497,06-06037-20221005,40,10
County,2022/10/06,06,CA,06037,Los Angeles County,2429790,7609317,30742774,8161777,7164460,3835306,4825262,4704492,1440689,385944,144517,55646,24681,06-06037-20221006,40,10
County,2022/10/07,06,CA,06037,Los Angeles County,2470438,7568669,29547209,7908101,6929122,3666190,4642201,4412392,1370813,382468,152550,57996,25376,06-06037-20221007,40,10
County,2022/10/08,06,CA,06037,Los Angeles County,2456175,7582932,30118627,7983673,7108946,3769315,4730345,4447287,1398257,429979,166833,59386,24606,06-06037-20221008,40,10
County,2022/11/13,06,CA,06037,Los Angeles County,2213928,7825179,29564273,8300249,7556943,3771020,4249368,3818732,1226916,404378,160625,50559,25483,06-06037-20221113,46,11
County,2022/11/14,06,CA,06037,Los Angeles County,2336812,7702295,30816714,8556477,7555084,3786227,4585849,4363364,1369793,375733,142984,51311,29892,06-06037-20221114,46,11
County,2022/11/15,06,CA,06037,Los Angeles County,2403479,7635628,27824185,7558034,6910618,3437860,4157936,3999741,1284877,315694,107126,34008,18291,06-06037-20221115,46,11
