Level,Date,State FIPS,State Postal Code,County FIPS,County Name,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500,Row ID,Week,Month
County,2022/01/31,06,CA,06037,Los Angeles County,2377473,7661634,28469910,7955620,6963745,3482825,4165968,4044871,1290728,359209,135956,49599,21389,06-06037-20220131,5,1
County,2022/02/01,06,CA,06037,Los Angeles County,2368141,7670966,27585882,7659082,6719779,3299872,4044638,4000219,1284976,365957,139637,50182,21540,06-06037-20220201,5,2
County,2022/02/02,06,CA,06037,Los Angeles County,2343150,7695957,28422430,7929225,6959063,3479744,4096665,4016368,1323227,392584,150303,53379,21872,06-06037-20220202,5,2
County,2022/02/03,06,CA,06037,Los Angeles County,2341583,7697524,27837262,7717500,6635831,3328426,4043134,4156433,1344257,385564,149150,54544,22423,06-06037-20220203,5,2
County,2022/02/04,06,CA,06037,Los Angeles County,1972300,8066807,34553786,11689030,8953979,3971024,4309764,3791411,1239882,353677,189773,39429,15817,06-06037-20220204,5,2
County,2022/02/05,06,CA,06037,Los Angeles County,2440156,7598951,26757337,6740366,6406598,3394396,4060455,3975287,1399130,504317,202030,54536,20222,06-06037-20220205,5,2
County,2022/02/06,06,CA,06037,Los Angeles County,2486288,7552819,24586802,6385118,5763372,2965805,3716728,3712161,1305728,461629,192539,60439,23283,06-06037-20220206,6,2
County,2022/02/07,06,CA,06037,Los Angeles County,2399380,7639727,27397469,7877772,6620528,3270698,3877737,3880301,1268077,375583,147228,55506,24039,06-06037-20220207,6,2
County,2022/02/08,06,CA,06037,Los Angeles County,2442273,7596834,25916695,7091678,6360048,3156923,3839243,3724714,1208260,337554,129927,48230,20118,06-06037-20220208,6,2
County,2022/02/09,06,CA,06037,Los Angeles County,2323565,7715542,29424311,8482740,7198131,3543065,4182017,4059147,1317068,393458,162383,61593,24709,06-06037-20220209,6,2
